,player_name,class_name,matches_played,innings_bowled_in,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,ten_wkts_in_a_match
1839,398513,First-class,1,2,192,77,3,2/42,3/77,25.66,2.40,64.0,0,0,0
1840,398513,List A,27,27,1490,1085,36,4/45,4/45,30.13,4.36,41.3,1,0,0
1841,398513,T20s,2,2,33,39,2,2/28,2/28,19.50,7.09,16.5,0,0,0
1842,1159641,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,-
1843,1159641,T20Is,2,-,-,-,-,-,-,-,-,-,-,-,-
1844,1159641,List A,13,-,-,-,-,-,-,-,-,-,-,-,-
1845,1159641,T20s,2,-,-,-,-,-,-,-,-,-,-,-,-
1846,32257,ODIs,1,1,42,34,2,2/34,2/34,17.00,4.85,21.0,0,0,0
1847,32257,T20Is,2,1,24,45,2,2/45,2/45,22.50,11.25,12.0,0,0,0
1848,32257,First-class,38,,4551,2800,72,5/15,,38.88,3.69,63.2,1,2,0
1849,32257,List A,27,27,1084,800,30,3/15,3/15,26.66,4.42,36.1,0,0,0
1850,32257,T20s,9,8,176,216,13,3/13,3/13,16.61,7.36,13.5,0,0,0
1851,25860,ODIs,2,2,59,69,0,-,-,-,7.01,-,0,0,0
1852,25860,List A,2,,59,69,0,-,-,-,7.01,-,0,0,0
1853,25872,ODIs,2,2,78,63,1,1/37,1/37,63.00,4.84,78.0,0,0,0
1854,25872,First-class,2,,156,76,4,2/10,,19.00,2.92,39.0,0,0,0
1855,25872,List A,15,,714,452,9,3/40,3/40,50.22,3.79,79.3,0,0,0
1856,25862,ODIs,2,1,24,52,1,1/52,1/52,52.00,13.00,24.0,0,0,0
1857,25862,First-class,10,,18,0,0,-,-,-,0.00,-,0,0,0
1858,25862,List A,8,,28,57,1,1/52,1/52,57.00,12.21,28.0,0,0,0
1859,50671,T20Is,2,1,12,19,0,-,-,-,9.50,-,0,0,0
1860,50671,First-class,87,,4003,2523,86,7/41,,29.33,3.78,46.5,,3,0
1861,50671,List A,75,,1621,1219,47,4/40,4/40,25.93,4.51,34.4,1,0,0
1862,50671,T20s,10,5,78,74,6,4/13,4/13,12.33,5.69,13.0,1,0,0
1863,25643,ODIs,2,1,60,76,2,2/76,2/76,38.00,7.60,30.0,0,0,0
1864,25643,First-class,22,,206,123,1,1/32,,123.00,3.58,206.0,,0,0
1865,25643,List A,32,,532,537,11,2/5,2/5,48.81,6.05,48.3,0,0,0
1866,348133,ODIs,1,1,18,11,0,-,-,-,3.66,-,0,0,0
1867,348133,T20Is,2,-,-,-,-,-,-,-,-,-,-,-,-
1868,348133,First-class,3,-,-,-,-,-,-,-,-,-,-,-,-
1869,348133,List A,30,15,481,326,10,2/19,2/19,32.60,4.06,48.1,0,0,0
1870,348133,T20s,30,3,36,59,0,-,-,-,9.83,-,0,0,0
1871,443263,ODIs,1,1,6,9,0,-,-,-,9.00,-,0,0,0
1872,443263,T20Is,2,1,18,21,2,2/21,2/21,10.50,7.00,9.0,0,0,0
1873,443263,First-class,23,36,2679,1722,54,6/47,8/140,31.88,3.85,49.6,5,2,0
1874,443263,List A,17,16,600,491,10,2/24,2/24,49.10,4.91,60.0,0,0,0
1875,443263,T20s,4,3,54,75,2,2/21,2/21,37.50,8.33,27.0,0,0,0
