,team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Match_number,Season
2073,Australia,India,292/8,288/8 (50 ov),Australia won by 4 runs,"Fall of wickets: 1-5 (Shane Watson, 1.2 ov), 2-102 (Tim Paine, 18.6 ov), 3-151 (Ricky Ponting, 29.3 ov), 4-227 (Cameron White, 42.2 ov), 5-233 (Adam Voges, 43.5 ov), 6-256 (James Hopes, 46.3 ov), 7-291 (Michael Hussey, 49.1 ov), 8-292 (Brett Lee, 49.6 ov)","Fall of wickets: 1-25 (Virender Sehwag, 4.2 ov), 2-45 (Sachin Tendulkar, 8.1 ov), 3-103 (Virat Kohli, 20.4 ov), 4-167 (Gautam Gambhir, 34.1 ov), 5-183 (Suresh Raina, 36.3 ov), 6-186 (MS Dhoni, 37.2 ov), 7-201 (Ravindra Jadeja, 39.5 ov), 8-285 (Harbhajan Singh, 49.2 ov)",Australia tour of India 2009/10,"Australia , elected to bat first",ODI no. 2913,2009/10
2074,Bangladesh,Zimbabwe,186,189/5 (34.4/50 ov),Zimbabwe won by 5 wickets (with 92 balls remaining),"Fall of wickets: 1-0 (Junaid Siddique, 1.2 ov), 2-5 (Tamim Iqbal, 3.3 ov), 3-41 (Mohammad Ashraful, 14.6 ov), 4-56 (Raqibul Hasan, 18.3 ov), 5-58 (Shakib Al Hasan, 19.1 ov), 6-62 (Mahmudullah, 19.3 ov), 7-115 (Naeem Islam, 34.6 ov), 8-124 (Abdur Razzak, 37.6 ov), 9-178 (Dolar Mahmud, 46.1 ov), 10-186 (Mushfiqur Rahim, 46.5 ov)","Fall of wickets: 1-39 (Chamu Chibhabha, 7.1 ov), 2-39 (Brendan Taylor, 7.2 ov), 3-39 (Tatenda Taibu, 7.5 ov), 4-54 (Hamilton Masakadza, 12.4 ov), 5-90 (Charles Coventry, 20.6 ov)",Zimbabwe tour of Bangladesh 2009/10,"Zimbabwe , elected to field first",ODI no. 2914,2009/10
2075,India,Australia,354/7,255 (48.3/50 ov),India won by 99 runs,"Fall of wickets: 1-21 (Sachin Tendulkar, 3.3 ov), 2-67 (Virender Sehwag, 10.1 ov), 3-97 (Yuvraj Singh, 15.1 ov), 4-216 (Gautam Gambhir, 33.6 ov), 5-352 (MS Dhoni, 49.3 ov), 6-353 (Suresh Raina, 49.5 ov), 7-354 (Praveen Kumar, 49.6 ov)","Fall of wickets: 1-20 (Tim Paine, 4.6 ov), 2-41 (Shane Watson, 9.1 ov), 3-45 (Ricky Ponting, 10.1 ov), 4-93 (Cameron White, 20.6 ov), 5-140 (Michael Hussey, 30.3 ov), 6-180 (Shaun Marsh, 36.5 ov), 7-194 (Adam Voges, 38.3 ov), 8-223 (Mitchell Johnson, 43.3 ov), 9-230 (Peter Siddle, 44.4 ov), 10-255 (Ben Hilfenhaus, 48.3 ov)",Australia tour of India 2009/10,"Australia , elected to field first",ODI no. 2915,2009/10
2076,Zimbabwe,Bangladesh,219,221/3 (29.3/50 ov),Bangladesh won by 7 wickets (with 123 balls remaining),"Fall of wickets: 1-59 (Hamilton Masakadza, 10.6 ov), 2-96 (Chamu Chibhabha, 20.5 ov), 3-96 (Brendan Taylor, 21.1 ov), 4-96 (Charles Coventry, 21.5 ov), 5-130 (Stuart Matsikenyeri, 30.6 ov), 6-184 (Tatenda Taibu, 40.2 ov), 7-207 (Malcolm Waller, 43.2 ov), 8-215 (Graeme Cremer, 45.3 ov), 9-217 (Elton Chigumbura, 46.4 ov), 10-219 (Kyle Jarvis, 47.2 ov)","Fall of wickets: 1-44 (Junaid Siddique, 3.5 ov), 2-56 (Mohammad Ashraful, 5.6 ov), 3-56 (Tamim Iqbal, 6.1 ov)",Zimbabwe tour of Bangladesh 2009/10,"Zimbabwe , elected to bat first",ODI no. 2916,2009/10
2077,Zimbabwe,Bangladesh,196,198/6 (40.4/50 ov),Bangladesh won by 4 wickets (with 56 balls remaining),"Fall of wickets: 1-19 (Brendan Taylor, 4.6 ov), 2-90 (Charles Coventry, 15.3 ov), 3-91 (Forster Mutizwa, 15.6 ov), 4-148 (Hamilton Masakadza, 27.4 ov), 5-154 (Malcolm Waller, 28.4 ov), 6-158 (Stuart Matsikenyeri, 29.6 ov), 7-177 (Chamu Chibhabha, 35.2 ov), 8-191 (Graeme Cremer, 39.6 ov), 9-195 (Ray Price, 40.5 ov), 10-196 (Elton Chigumbura, 41.1 ov)","Fall of wickets: 1-24 (Junaid Siddique, 4.5 ov), 2-122 (Tamim Iqbal, 23.3 ov), 3-175 (Mohammad Ashraful, 32.1 ov), 4-183 (Raqibul Hasan, 35.4 ov), 5-183 (Mahmudullah, 35.6 ov), 6-194 (Mushfiqur Rahim, 40.2 ov)",Zimbabwe tour of Bangladesh 2009/10,"Bangladesh , elected to field first",ODI no. 2917,2009/10
2078,Australia,India,229/5,230/4 (48.2/50 ov),India won by 6 wickets (with 10 balls remaining),"Fall of wickets: 1-72 (Shane Watson, 16.2 ov), 2-128 (Ricky Ponting, 31.1 ov), 3-129 (Cameron White, 32.4 ov), 4-172 (Adam Voges, 41.5 ov), 5-200 (Moises Henriques, 46.3 ov)","Fall of wickets: 1-37 (Virender Sehwag, 8.5 ov), 2-51 (Sachin Tendulkar, 13.3 ov), 3-53 (Gautam Gambhir, 15.2 ov), 4-201 (Yuvraj Singh, 43.6 ov)",Australia tour of India 2009/10,"Australia , elected to bat first",ODI no. 2918,2009/10
2079,Australia,India,250,226 (46.4/50 ov),Australia won by 24 runs,"Fall of wickets: 1-24 (Shaun Marsh, 7.4 ov), 2-88 (Shane Watson, 18.1 ov), 3-123 (Ricky Ponting, 26.5 ov), 4-196 (Michael Hussey, 38.1 ov), 5-217 (Moises Henriques, 42.4 ov), 6-226 (Cameron White, 44.5 ov), 7-236 (Mitchell Johnson, 46.1 ov), 8-241 (Graham Manou, 47.1 ov), 9-247 (Peter Siddle, 48.4 ov), 10-250 (Doug Bollinger, 49.2 ov)","Fall of wickets: 1-40 (Virender Sehwag, 6.5 ov), 2-78 (Virat Kohli, 14.3 ov), 3-94 (Sachin Tendulkar, 18.5 ov), 4-113 (Yuvraj Singh, 23.2 ov), 5-145 (MS Dhoni, 31.2 ov), 6-156 (Suresh Raina, 34.2 ov), 7-177 (Ravindra Jadeja, 38.4 ov), 8-204 (Harbhajan Singh, 42.1 ov), 9-217 (Praveen Kumar, 44.4 ov), 10-226 (Ashish Nehra, 46.4 ov)",Australia tour of India 2009/10,"India , elected to field first",ODI no. 2919,2009/10
2080,Zimbabwe,Bangladesh,44,49/4 (11.5/50 ov),Bangladesh won by 6 wickets (with 229 balls remaining),"Fall of wickets: 1-2 (Hamilton Masakadza, 0.5 ov), 2-3 (Brendan Taylor, 1.3 ov), 3-4 (Charles Coventry, 2.3 ov), 4-8 (Mark Vermeulen, 5.3 ov), 5-32 (Stuart Matsikenyeri, 13.3 ov), 6-32 (Chamu Chibhabha, 15.3 ov), 7-36 (Malcolm Waller, 16.4 ov), 8-36 (Elton Chigumbura, 17.6 ov), 9-39 (Ray Price, 18.6 ov), 10-44 (Kyle Jarvis, 24.5 ov)","Fall of wickets: 1-33 (Tamim Iqbal, 6.3 ov), 2-33 (Mohammad Ashraful, 6.6 ov), 3-36 (Junaid Siddique, 7.4 ov), 4-38 (Naeem Islam, 9.1 ov)",Zimbabwe tour of Bangladesh 2009/10,"Zimbabwe , elected to bat first",ODI no. 2920,2009/10
2081,Pakistan,New Zealand,287/9,149 (39.2/50 ov),Pakistan won by 138 runs,"Fall of wickets: 1-0 (Salman Butt, 0.4 ov), 2-0 (Younis Khan, 2.1 ov), 3-57 (Mohammad Yousuf, 16.6 ov), 4-75 (Umar Akmal, 23.3 ov), 5-176 (Shahid Afridi, 38.2 ov), 6-184 (Khalid Latif, 41.1 ov), 7-270 (Abdul Razzaq, 48.2 ov), 8-271 (Umar Gul, 48.4 ov), 9-277 (Mohammad Amir, 49.1 ov)","Fall of wickets: 1-30 (Brendon McCullum, 7.4 ov), 2-34 (Martin Guptill, 9.2 ov), 3-35 (Ross Taylor, 10.2 ov), 4-50 (Scott Styris, 15.1 ov), 5-119 (Aaron Redmond, 29.3 ov), 6-139 (Daniel Vettori, 34.5 ov), 7-139 (Nathan McCullum, 34.6 ov), 8-139 (Jacob Oram, 35.3 ov), 9-144 (Ian Butler, 37.2 ov), 10-149 (Tim Southee, 39.2 ov)",Pakistan v New Zealand ODI Series 2009/10,"Pakistan , elected to bat first",ODI no. 2921,2009/10
2082,Zimbabwe,Bangladesh,221/9,222/9 (49/50 ov),Bangladesh won by 1 wicket (with 6 balls remaining),"Fall of wickets: 1-12 (Mark Vermeulen, 5.4 ov), 2-18 (Hamilton Masakadza, 7.2 ov), 3-80 (Elton Chigumbura, 19.3 ov), 4-80 (Malcolm Waller, 19.5 ov), 5-104 (Stuart Matsikenyeri, 24.6 ov), 6-113 (Forster Mutizwa, 28.3 ov), 7-113 (Chamu Chibhabha, 28.5 ov), 8-145 (Graeme Cremer, 36.4 ov), 9-199 (Ray Price, 47.1 ov)","Fall of wickets: 1-8 (Mohammad Ashraful, 2.3 ov), 2-42 (Junaid Siddique, 10.6 ov), 3-75 (Raqibul Hasan, 17.3 ov), 4-102 (Mushfiqur Rahim, 22.2 ov), 5-105 (Shakib Al Hasan, 24.3 ov), 6-174 (Mahmudullah, 41.4 ov), 7-179 (Abdur Razzak, 42.2 ov), 8-179 (Enamul Haque jnr, 42.6 ov), 9-187 (Tamim Iqbal, 44.5 ov)",Zimbabwe tour of Bangladesh 2009/10,"Bangladesh , elected to field first",ODI no. 2922,2009/10
