,team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Match_number,Season
542,England,South Africa,223/9,224/7 (48.4/50 ov),South Africa won by 3 wickets (with 8 balls remaining),"Fall of wickets: 1-58 (Alec Stewart, 12.6 ov), 2-109 (Chris Adams, 26.2 ov), 3-155 (Nick Knight, 35.5 ov), 4-158 (Darren Maddy, 37.6 ov), 5-160 (Nasser Hussain, 38.4 ov), 6-161 (Mark Ealham, 38.6 ov), 7-201 (Chris Lewis, 46.4 ov), 8-209 (Ashley Giles, 48.1 ov), 9-220 (Adam Hollioake, 49.4 ov)","Fall of wickets: 1-4 (Gary Kirsten, 0.2 ov), 2-76 (Gerhardus Liebenberg, 16.4 ov), 3-105 (Daryll Cullinan, 24.3 ov), 4-134 (Jacques Kallis, 31.6 ov), 5-175 (Hansie Cronje, 41.3 ov), 6-175 (Shaun Pollock, 41.4 ov), 7-214 (Lance Klusener, 47.3 ov)",South Africa tour of England 1998,"South Africa , elected to field first",ODI no. 1331,1998
543,Kenya,Bangladesh,226/8,"198 (46.2/49 ov, target 226)",Kenya won by 28 runs (revised target),"Fall of wickets: 1-76 (Kennedy Otieno, 19.2 ov), 2-99 (Ravi Shah, 24.2 ov), 3-193 (Steve Tikolo, 43.3 ov), 4-203 (Hitesh Modi, 44.5 ov), 5-203 (Thomas Odoyo, 44.6 ov), 6-203 (Maurice Odumbe, 45.1 ov), 7-212 (Lameck Onyango, 47.2 ov), 8-212 (Aasif Karim, 47.4 ov)","Fall of wickets: 1-0 (Athar Ali Khan, 0.3 ov), 2-57 (Mohammad Rafique, 11.1 ov), 3-64 (Aminul Islam, 13.3 ov), 4-102 (Minhajul Abedin, 24.4 ov), 5-115 (Akram Khan, 27.1 ov), 6-171 (Khaled Mahmud, 40.4 ov), 7-189 (Naimur Rahman, 43.4 ov), 8-192 (Khaled Mashud, 44.6 ov), 9-194 (Hasibul Hossain, 45.3 ov), 10-198 (Enamul Haque, 46.2 ov)",Coca-Cola Triangular Series,"Kenya , elected to bat first",ODI no. 1333,1998
544,South Africa,England,226/9,194 (46.4/50 ov),South Africa won by 32 runs,"Fall of wickets: 1-6 (Gary Kirsten, 2.5 ov), 2-24 (Jacques Kallis, 6.3 ov), 3-42 (Daryll Cullinan, 11.4 ov), 4-103 (Hansie Cronje, 24.5 ov), 5-130 (Gerhardus Liebenberg, 30.3 ov), 6-143 (Shaun Pollock, 33.6 ov), 7-166 (Jonty Rhodes, 39.4 ov), 8-189 (Mark Boucher, 44.4 ov), 9-200 (Pat Symcox, 46.4 ov)","Fall of wickets: 1-30 (Ali Brown, 5.6 ov), 2-77 (Nick Knight, 14.2 ov), 3-83 (Nasser Hussain, 16.6 ov), 4-90 (Chris Adams, 21.1 ov), 5-143 (Alec Stewart, 33.2 ov), 6-169 (Adam Hollioake, 38.6 ov), 7-169 (Mark Ealham, 39.3 ov), 8-182 (Matthew Fleming, 43.6 ov), 9-190 (Robert Croft, 45.2 ov), 10-194 (Darren Gough, 46.4 ov)",South Africa tour of England 1998,"England , elected to field first",ODI no. 1332,1998
545,South Africa,England,205/8,206/3 (35/50 ov),England won by 7 wickets (with 90 balls remaining),"Fall of wickets: 1-26 (Gary Kirsten, 7.1 ov), 2-29 (Jacques Kallis, 8.2 ov), 3-57 (Daryll Cullinan, 20.3 ov), 4-68 (Gerhardus Liebenberg, 23.1 ov), 5-78 (Jonty Rhodes, 25.2 ov), 6-118 (Hansie Cronje, 34.3 ov), 7-146 (Lance Klusener, 40.5 ov), 8-198 (Shaun Pollock, 49.3 ov)","Fall of wickets: 1-114 (Ali Brown, 16.2 ov), 2-139 (Nick Knight, 20.2 ov), 3-148 (Matthew Fleming, 22.4 ov)",South Africa tour of England 1998,"South Africa , elected to bat first",ODI no. 1334,1998
546,Bangladesh,India,115,116/5 (29.2/50 ov),India won by 5 wickets (with 124 balls remaining),"Fall of wickets: 1-17 (Mohammad Rafique, 4.3 ov), 2-18 (Athar Ali Khan, 5.5 ov), 3-21 (Minhajul Abedin, 8.1 ov), 4-53 (Akram Khan, 17.3 ov), 5-55 (Aminul Islam, 18.3 ov), 6-70 (Khaled Mahmud, 23.4 ov), 7-71 (Naimur Rahman, 24.3 ov), 8-71 (Enamul Haque, 26.6 ov), 9-115 (Hasibul Hossain, 36.2 ov), 10-115 (Anisur Rahman, 36.3 ov)","Fall of wickets: 1-72 (Sachin Tendulkar, 9.5 ov), 2-84 (Rahul Dravid, 16.2 ov), 3-90 (Navjot Sidhu, 17.5 ov), 4-98 (VVS Laxman, 19.6 ov), 5-107 (Saba Karim, 24.6 ov)",Coca-Cola Triangular Series,"Bangladesh , elected to bat first",ODI no. 1335,1998
547,Kenya,India,265/5,196 (47.1/50 ov),Kenya won by 69 runs,"Fall of wickets: 1-26 (Kennedy Otieno, 6.4 ov), 2-93 (Ravi Shah, 19.2 ov), 3-109 (Steve Tikolo, 26.1 ov), 4-209 (Hitesh Modi, 43.4 ov), 5-249 (Maurice Odumbe, 47.3 ov)","Fall of wickets: 1-34 (Sachin Tendulkar, 8.2 ov), 2-47 (Mohammad Azharuddin, 11.1 ov), 3-62 (Navjot Sidhu, 14.5 ov), 4-97 (Robin Singh, 23.1 ov), 5-106 (Rahul Dravid, 25.5 ov), 6-150 (Jatin Paranjpe, 37.4 ov), 7-155 (Nikhil Chopra, 39.2 ov), 8-155 (Nayan Mongia, 39.4 ov), 9-189 (Anil Kumble, 45.3 ov), 10-196 (Venkatesh Prasad, 47.1 ov)",Coca-Cola Triangular Series,"Kenya , elected to bat first",ODI no. 1336,1998
548,Kenya,India,196,197/1 (35/50 ov),India won by 9 wickets (with 90 balls remaining),"Fall of wickets: 1-13 (Dipak Chudasama, 3.1 ov), 2-19 (Ravi Shah, 4.2 ov), 3-21 (Maurice Odumbe, 6.6 ov), 4-23 (Steve Tikolo, 7.6 ov), 5-105 (Kennedy Otieno, 27.5 ov), 6-142 (Hitesh Modi, 35.3 ov), 7-164 (Thomas Odoyo, 38.4 ov), 8-180 (Martin Suji, 41.5 ov), 9-185 (Aasif Karim, 43.3 ov), 10-196 (Joseph Angara, 46.3 ov)","Fall of wickets: 1-77 (Sourav Ganguly, 13.2 ov)",Coca-Cola Triangular Series,"Kenya , elected to bat first",ODI no. 1337,1998
549,Sri Lanka,India,243/6,246/2 (43.4/50 ov),India won by 8 wickets (with 38 balls remaining),"Fall of wickets: 1-16 (Sanath Jayasuriya, 4.6 ov), 2-50 (Romesh Kaluwitharana, 12.1 ov), 3-195 (Marvan Atapattu, 40.2 ov), 4-236 (Aravinda de Silva, 48.5 ov), 5-238 (Roshan Mahanama, 49.1 ov), 6-238 (Arjuna Ranatunga, 49.2 ov)","Fall of wickets: 1-115 (Sachin Tendulkar, 17.4 ov), 2-211 (Sourav Ganguly, 37.3 ov)",Singer-Akai Nidahas Trophy,"Sri Lanka , elected to bat first",ODI no. 1338,1998
550,New Zealand,Sri Lanka,200/9,201/3 (40/50 ov),Sri Lanka won by 7 wickets (with 60 balls remaining),"Fall of wickets: 1-71 (Bryan Young, 14.4 ov), 2-107 (Nathan Astle, 23.4 ov), 3-112 (Matt Horne, 24.5 ov), 4-169 (Craig McMillan, 39.1 ov), 5-171 (Stephen Fleming, 39.4 ov), 6-176 (Adam Parore, 41.3 ov), 7-179 (Chris Cairns, 43.5 ov), 8-186 (Dion Nash, 47.1 ov), 9-189 (Chris Harris, 48.4 ov)","Fall of wickets: 1-3 (Romesh Kaluwitharana, 0.6 ov), 2-85 (Sanath Jayasuriya, 18.1 ov), 3-180 (Aravinda de Silva, 36.4 ov)",Singer-Akai Nidahas Trophy,"New Zealand , elected to bat first",ODI no. 1339,1998
551,Sri Lanka,India,171/8,"163 (35.4/36 ov, target 172)",Sri Lanka won by 8 runs,"Fall of wickets: 1-1 (Avishka Gunawardene, 0.4 ov), 2-30 (Marvan Atapattu, 4.4 ov), 3-38 (Sanath Jayasuriya, 5.4 ov), 4-77 (Arjuna Ranatunga, 13.4 ov), 5-90 (Romesh Kaluwitharana, 17.4 ov), 6-132 (Upul Chandana, 25.2 ov), 7-160 (Kumar Dharmasena, 32.2 ov), 8-164 (Aravinda de Silva, 33.3 ov)","Fall of wickets: 1-41 (Sachin Tendulkar, 6.1 ov), 2-48 (Sourav Ganguly, 7.5 ov), 3-57 (Nayan Mongia, 9.3 ov), 4-57 (Ajay Jadeja, 9.4 ov), 5-58 (Mohammad Azharuddin, 10.3 ov), 6-75 (Hrishikesh Kanitkar, 16.4 ov), 7-138 (Ajit Agarkar, 31.6 ov), 8-162 (Anil Kumble, 35.1 ov), 9-163 (Robin Singh, 35.3 ov), 10-163 (Harbhajan Singh, 35.4 ov)",Singer-Akai Nidahas Trophy,"India , elected to field first",ODI no. 1341,1998
552,Sri Lanka,New Zealand,293/4,206 (39.1/50 ov),Sri Lanka won by 87 runs,"Fall of wickets: 1-69 (Sanath Jayasuriya, 12.2 ov), 2-92 (Romesh Kaluwitharana, 17.3 ov), 3-224 (Aravinda de Silva, 40.4 ov), 4-282 (Arjuna Ranatunga, 48.5 ov)","Fall of wickets: 1-11 (Bryan Young, 2.5 ov), 2-78 (Stephen Fleming, 11.4 ov), 3-86 (Craig McMillan, 13.1 ov), 4-106 (Matt Horne, 16.3 ov), 5-152 (Nathan Astle, 24.6 ov), 6-154 (Chris Cairns, 25.4 ov), 7-163 (Chris Harris, 27.4 ov), 8-172 (Dion Nash, 30.4 ov), 9-176 (Daniel Vettori, 31.4 ov), 10-206 (Paul Wiseman, 39.1 ov)",Singer-Akai Nidahas Trophy,"New Zealand , elected to field first",ODI no. 1343,1998
553,India,Sri Lanka,307/6,301 (49.3/50 ov),India won by 6 runs,"Fall of wickets: 1-252 (Sachin Tendulkar, 43.6 ov), 2-252 (Sourav Ganguly, 44.1 ov), 3-262 (Mohammad Azharuddin, 45.6 ov), 4-297 (Robin Singh, 48.4 ov), 5-297 (Ajay Jadeja, 48.5 ov), 6-307 (Ajit Agarkar, 49.6 ov)","Fall of wickets: 1-59 (Sanath Jayasuriya, 8.2 ov), 2-73 (Romesh Kaluwitharana, 10.6 ov), 3-160 (Marvan Atapattu, 25.4 ov), 4-197 (Arjuna Ranatunga, 31.4 ov), 5-272 (Aravinda de Silva, 43.3 ov), 6-280 (Upul Chandana, 45.3 ov), 7-287 (Kumar Dharmasena, 46.4 ov), 8-295 (Roshan Mahanama, 47.6 ov), 9-298 (Niroshan Bandaratilleke, 48.5 ov), 10-301 (Pramodya Wickramasinghe, 49.3 ov)",Singer-Akai Nidahas Trophy,"India , elected to bat first",ODI no. 1344,1998
554,Sri Lanka,South Africa,258,201 (49/50 ov),Sri Lanka won by 57 runs,"Fall of wickets: 1-85 (Romesh Kaluwitharana, 11.1 ov), 2-88 (Sanath Jayasuriya, 12.3 ov), 3-102 (Aravinda de Silva, 14.1 ov), 4-182 (Marvan Atapattu, 31.4 ov), 5-192 (Mahela Jayawardene, 34.4 ov), 6-224 (Chandika Hathurusingha, 42.2 ov), 7-235 (Pramodya Wickramasinghe, 43.5 ov), 8-252 (Kumar Dharmasena, 45.6 ov), 9-254 (Arjuna Ranatunga, 47.2 ov), 10-258 (Muttiah Muralitharan, 47.5 ov)","Fall of wickets: 1-0 (Gary Kirsten, 0.2 ov), 2-8 (Jacques Kallis, 4.4 ov), 3-30 (Mike Rindel, 10.4 ov), 4-32 (Daryll Cullinan, 11.3 ov), 5-66 (Hansie Cronje, 20.4 ov), 6-166 (Jonty Rhodes, 36.5 ov), 7-175 (Pat Symcox, 38.4 ov), 8-178 (Mark Boucher, 39.2 ov), 9-178 (Steve Elworthy, 39.5 ov), 10-201 (Allan Donald, 48.6 ov)",Emirates Triangular Tournament,"South Africa , elected to field first",ODI no. 1345,1998
555,England,Sri Lanka,247,211 (49.3/50 ov),England won by 36 runs,"Fall of wickets: 1-14 (Ali Brown, 2.4 ov), 2-56 (Nick Knight, 10.4 ov), 3-132 (Alec Stewart, 24.6 ov), 4-223 (Nasser Hussain, 43.5 ov), 5-224 (Graeme Hick, 44.1 ov), 6-228 (Adam Hollioake, 44.5 ov), 7-233 (Robert Croft, 46.3 ov), 8-241 (Peter Martin, 47.3 ov), 9-244 (Ian Austin, 48.1 ov), 10-247 (Alan Mullally, 49.3 ov)","Fall of wickets: 1-13 (Romesh Kaluwitharana, 1.5 ov), 2-17 (Sanath Jayasuriya, 2.3 ov), 3-28 (Marvan Atapattu, 4.5 ov), 4-49 (Russel Arnold, 10.6 ov), 5-83 (Aravinda de Silva, 19.2 ov), 6-97 (Chandika Hathurusingha, 22.5 ov), 7-126 (Arjuna Ranatunga, 30.4 ov), 8-159 (Suresh Perera, 39.4 ov), 9-189 (Pramodya Wickramasinghe, 46.4 ov), 10-211 (Muttiah Muralitharan, 49.3 ov)",Emirates Triangular Tournament,"Sri Lanka , elected to field first",ODI no. 1346,1998
556,South Africa,England,244/7,230 (48.5/50 ov),South Africa won by 14 runs,"Fall of wickets: 1-20 (Mike Rindel, 4.2 ov), 2-25 (Gary Kirsten, 6.3 ov), 3-73 (Jonty Rhodes, 13.5 ov), 4-140 (Daryll Cullinan, 29.1 ov), 5-160 (Hansie Cronje, 36.1 ov), 6-172 (Jacques Kallis, 39.4 ov), 7-241 (Pat Symcox, 49.3 ov)","Fall of wickets: 1-7 (Ali Brown, 2.1 ov), 2-48 (Alec Stewart, 11.1 ov), 3-161 (Graeme Hick, 33.1 ov), 4-170 (Nasser Hussain, 35.1 ov), 5-186 (Nick Knight, 38.6 ov), 6-193 (Adam Hollioake, 40.5 ov), 7-208 (Robert Croft, 44.6 ov), 8-213 (Ian Austin, 45.6 ov), 9-217 (Peter Martin, 47.2 ov), 10-230 (Darren Gough, 48.5 ov)",Emirates Triangular Tournament,"South Africa , elected to bat first",ODI no. 1347,1998
557,England,Sri Lanka,256/8,260/5 (47.1/50 ov),Sri Lanka won by 5 wickets (with 17 balls remaining),"Fall of wickets: 1-132 (Mike Atherton, 25.3 ov), 2-170 (Alec Stewart, 33.5 ov), 3-191 (Graeme Hick, 38.5 ov), 4-218 (Nick Knight, 43.4 ov), 5-218 (Nasser Hussain, 43.6 ov), 6-223 (Ali Brown, 45.2 ov), 7-246 (Robert Croft, 49.1 ov), 8-246 (Darren Gough, 49.2 ov)","Fall of wickets: 1-2 (Sanath Jayasuriya, 0.2 ov), 2-140 (Romesh Kaluwitharana, 26.3 ov), 3-210 (Aravinda de Silva, 40.2 ov), 4-224 (Arjuna Ranatunga, 43.1 ov), 5-233 (Upul Chandana, 44.5 ov)",Emirates Triangular Tournament,"England , elected to bat first",ODI no. 1348,1998
558,Pakistan,India,189/9,193/4 (43.4/50 ov),India won by 6 wickets (with 38 balls remaining),"Fall of wickets: 1-19 (Shahid Afridi, 2.6 ov), 2-71 (Aamer Sohail, 20.2 ov), 3-73 (Saeed Anwar, 21.4 ov), 4-121 (Inzamam-ul-Haq, 38.2 ov), 5-129 (Abdul Razzaq, 40.1 ov), 6-164 (Saleem Malik, 45.3 ov), 7-164 (Ijaz Ahmed, 45.4 ov), 8-165 (Azhar Mahmood, 46.1 ov), 9-180 (Aaqib Javed, 48.5 ov)","Fall of wickets: 1-91 (Mohammad Azharuddin, 19.6 ov), 2-91 (Navjot Sidhu, 20.6 ov), 3-107 (Rahul Dravid, 23.3 ov), 4-153 (Hrishikesh Kanitkar, 35.4 ov), 4-187* (Sourav Ganguly, retired not out )",India tour of Canada 1998,"India , elected to field first",ODI no. 1349,1998
559,Pakistan,India,246/9,195 (46.3/50 ov),Pakistan won by 51 runs,"Fall of wickets: 1-25 (Saeed Anwar, 4.4 ov), 2-80 (Aamer Sohail, 13.5 ov), 3-117 (Shahid Afridi, 19.1 ov), 4-127 (Saleem Malik, 21.4 ov), 5-130 (Ijaz Ahmed, 22.4 ov), 6-173 (Inzamam-ul-Haq, 32.5 ov), 7-203 (Azhar Mahmood, 42.2 ov), 8-207 (Abdul Razzaq, 43.6 ov), 9-229 (Mohammad Zahid, 48.1 ov)","Fall of wickets: 1-57 (Navjot Sidhu, 16.2 ov), 2-96 (Mohammad Azharuddin, 25.4 ov), 3-107 (Nayan Mongia, 27.3 ov), 4-138 (Rahul Dravid, 35.1 ov), 5-143 (Jatin Paranjpe, 36.3 ov), 6-152 (Hrishikesh Kanitkar, 39.2 ov), 7-160 (Ajit Agarkar, 40.6 ov), 8-162 (Sanjay Raul, 41.5 ov), 9-175 (Sunil Joshi, 44.1 ov), 10-195 (Venkatesh Prasad, 46.3 ov)",India tour of Canada 1998,"India , elected to field first",ODI no. 1350,1998
560,Pakistan,India,257/5,180 (46.2/50 ov),Pakistan won by 77 runs,"Fall of wickets: 1-0 (Shahid Afridi, 1.2 ov), 2-42 (Aamer Sohail, 10.5 ov), 3-127 (Saeed Anwar, 29.4 ov), 4-203 (Inzamam-ul-Haq, 44.2 ov), 5-214 (Saleem Malik, 46.2 ov)","Fall of wickets: 1-43 (Sourav Ganguly, 9.4 ov), 2-44 (Navjot Sidhu, 9.6 ov), 3-46 (Mohammad Azharuddin, 12.1 ov), 4-62 (Rahul Dravid, 18.1 ov), 5-75 (Hrishikesh Kanitkar, 23.1 ov), 6-78 (Jatin Paranjpe, 26.3 ov), 7-112 (Ajit Agarkar, 34.3 ov), 8-122 (Sunil Joshi, 36.2 ov), 9-140 (Nayan Mongia, 41.2 ov), 10-180 (Javagal Srinath, 46.2 ov)",Pakistan tour of Canada 1998,"India , elected to field first",ODI no. 1351,1998
561,Pakistan,India,316/6,182 (46.3/50 ov),Pakistan won by 134 runs,"Fall of wickets: 1-19 (Saeed Anwar, 3.6 ov), 2-160 (Shahid Afridi, 26.2 ov), 3-195 (Aamer Sohail, 34.3 ov), 4-298 (Saleem Malik, 47.3 ov), 5-303 (Inzamam-ul-Haq, 48.4 ov), 6-306 (Ijaz Ahmed, 49.3 ov)","Fall of wickets: 1-26 (Sourav Ganguly, 7.4 ov), 2-32 (Nayan Mongia, 8.6 ov), 3-110 (Mohammad Azharuddin, 24.2 ov), 4-131 (Navjot Sidhu, 28.4 ov), 5-135 (Rahul Dravid, 29.1 ov), 6-136 (Hrishikesh Kanitkar, 29.3 ov), 7-143 (Ajay Jadeja, 31.6 ov), 8-173 (Ajit Agarkar, 41.1 ov), 9-176 (Javagal Srinath, 43.2 ov), 10-182 (Sunil Joshi, 46.3 ov)",India tour of Canada 1998,"India , elected to field first",ODI no. 1352,1998
562,India,Pakistan,256/9,258/5 (48.2/50 ov),Pakistan won by 5 wickets (with 10 balls remaining),"Fall of wickets: 1-35 (Sourav Ganguly, 11.1 ov), 2-35 (Navjot Sidhu, 11.2 ov), 3-156 (Sachin Tendulkar, 34.5 ov), 4-175 (Ajay Jadeja, 39.6 ov), 5-207 (Nayan Mongia, 45.3 ov), 6-213 (Mohammad Azharuddin, 45.5 ov), 7-213 (Sanjay Raul, 45.6 ov), 8-227 (Javagal Srinath, 48.1 ov), 9-256 (Sunil Joshi, 49.6 ov)","Fall of wickets: 1-48 (Shahid Afridi, 8.2 ov), 2-167 (Saeed Anwar, 32.2 ov), 3-167 (Inzamam-ul-Haq, 32.3 ov), 4-213 (Saleem Malik, 43.1 ov), 5-222 (Ijaz Ahmed, 43.6 ov)",India tour of Canada 1998,"India , elected to bat first",ODI no. 1353,1998
563,Zimbabwe,India,213,216/2 (42.2/50 ov),India won by 8 wickets (with 46 balls remaining),"Fall of wickets: 1-20 (Trevor Madondo, 5.5 ov), 2-40 (Murray Goodwin, 8.4 ov), 3-99 (Alistair Campbell, 17.4 ov), 4-99 (Andy Flower, 18.1 ov), 5-105 (Craig Wishart, 20.3 ov), 6-157 (Heath Streak, 36.3 ov), 7-158 (Craig Evans, 37.2 ov), 8-160 (Gary Brent, 38.3 ov), 9-213 (Andy Whittall, 49.4 ov), 10-213 (Paul Strang, 49.6 ov)","Fall of wickets: 1-29 (Sourav Ganguly, 6.2 ov), 2-209 (Rahul Dravid, 40.1 ov)",India tour of Zimbabwe 1998/99,"India , elected to field first",ODI no. 1354,1998/99
564,Zimbabwe,India,235/7,"236/2 (41.5/45 ov, target 236)",India won by 8 wickets (with 19 balls remaining),"Fall of wickets: 1-15 (Trevor Madondo, 2.2 ov), 2-140 (Alistair Campbell, 27.3 ov), 3-155 (Murray Goodwin, 30.3 ov), 4-188 (Craig Wishart, 37.6 ov), 5-193 (Andy Flower, 39.2 ov), 6-200 (Heath Streak, 40.5 ov), 7-223 (Craig Evans, 43.5 ov)","Fall of wickets: 1-44 (Sachin Tendulkar, 7.2 ov), 2-197 (Mohammad Azharuddin, 34.3 ov)",India tour of Zimbabwe 1998/99,"India , elected to field first",ODI no. 1355,1998/99
565,Zimbabwe,India,259/5,222 (47.2/50 ov),Zimbabwe won by 37 runs,"Fall of wickets: 1-4 (Alistair Campbell, 0.5 ov), 2-39 (Murray Goodwin, 11.5 ov), 3-152 (Andy Flower, 34.4 ov), 4-209 (Craig Evans, 41.3 ov), 5-240 (Craig Wishart, 47.4 ov)","Fall of wickets: 1-5 (Sachin Tendulkar, 1.4 ov), 2-10 (Mohammad Azharuddin, 6.6 ov), 3-62 (Ajay Jadeja, 18.1 ov), 4-72 (Sourav Ganguly, 19.5 ov), 5-126 (Rahul Dravid, 31.5 ov), 6-181 (Robin Singh, 40.5 ov), 7-190 (Nayan Mongia, 43.5 ov), 8-214 (Ajit Agarkar, 45.6 ov), 9-219 (Rahul Sanghvi, 46.2 ov), 10-222 (Harbhajan Singh, 47.2 ov)",India tour of Zimbabwe 1998/99,"India , elected to field first",ODI no. 1356,1998/99
566,Zimbabwe,New Zealand,258/7,260/5 (50 ov),New Zealand won by 5 wickets (with 0 balls remaining),"Fall of wickets: 1-12 (Grant Flower, 1.4 ov), 2-77 (Neil Johnson, 10.4 ov), 3-93 (Murray Goodwin, 14.6 ov), 4-211 (Andy Flower, 42.3 ov), 5-234 (Craig Evans, 46.1 ov), 6-240 (Alistair Campbell, 47.6 ov), 7-249 (Heath Streak, 49.1 ov)","Fall of wickets: 1-11 (Matthew Bell, 3.6 ov), 2-32 (Nathan Astle, 10.1 ov), 3-80 (Craig McMillan, 20.2 ov), 4-205 (Stephen Fleming, 44.5 ov), 5-216 (Adam Parore, 46.4 ov)",ICC Champions Trophy (ICC KnockOut),"Zimbabwe , elected to bat first",ODI no. 1357,1998/99
567,England,South Africa,281/7,283/4 (46.4/50 ov),South Africa won by 6 wickets (with 20 balls remaining),"Fall of wickets: 1-14 (Ali Brown, 3.4 ov), 2-80 (Mark Ealham, 13.3 ov), 3-93 (Graeme Hick, 17.2 ov), 4-94 (Nick Knight, 17.6 ov), 5-95 (Graham Lloyd, 18.4 ov), 6-207 (Neil Fairbrother, 42.4 ov), 7-256 (Jack Russell, 47.4 ov)","Fall of wickets: 1-113 (Mike Rindel, 19.2 ov), 2-124 (Daryll Cullinan, 24.2 ov), 3-135 (Jacques Kallis, 26.2 ov), 4-252 (Hansie Cronje, 42.3 ov)",ICC Champions Trophy (ICC KnockOut),"England , elected to bat first",ODI no. 1358,1998/99
568,New Zealand,Sri Lanka,188,191/5 (41.3/50 ov),Sri Lanka won by 5 wickets (with 51 balls remaining),"Fall of wickets: 1-15 (Nathan Astle, 3.5 ov), 2-56 (Stephen Fleming, 12.5 ov), 3-58 (Matthew Bell, 14.4 ov), 4-118 (Craig McMillan, 29.2 ov), 5-134 (Chris Harris, 35.3 ov), 6-150 (Alex Tait, 39.2 ov), 7-160 (Adam Parore, 42.6 ov), 8-169 (Daniel Vettori, 45.4 ov), 9-176 (Simon Doull, 47.5 ov), 10-188 (Geoff Allott, 49.5 ov)","Fall of wickets: 1-0 (Sanath Jayasuriya, 0.1 ov), 2-4 (Marvan Atapattu, 2.3 ov), 3-5 (Aravinda de Silva, 3.2 ov), 4-132 (Romesh Kaluwitharana, 29.1 ov), 5-150 (Roshan Mahanama, 34.4 ov)",ICC Champions Trophy (ICC KnockOut),"Sri Lanka , elected to field first",ODI no. 1359,1998/99
569,India,Australia,307/8,263 (48.1/50 ov),India won by 44 runs,"Fall of wickets: 1-7 (Sourav Ganguly, 1.6 ov), 2-8 (Mohammad Azharuddin, 2.5 ov), 3-148 (Rahul Dravid, 26.1 ov), 4-280 (Sachin Tendulkar, 45.1 ov), 5-286 (Ajay Jadeja, 45.5 ov), 6-292 (Robin Singh, 46.4 ov), 7-301 (Ajit Agarkar, 48.6 ov), 8-305 (Sunil Joshi, 49.5 ov)","Fall of wickets: 1-51 (Adam Gilchrist, 8.3 ov), 2-145 (Ricky Ponting, 25.2 ov), 3-167 (Mark Waugh, 27.5 ov), 4-172 (Brendon Julian, 29.2 ov), 5-194 (Steve Waugh, 34.2 ov), 6-210 (Michael Bevan, 38.5 ov), 7-217 (Darren Lehmann, 39.6 ov), 8-247 (Damien Martyn, 44.3 ov), 9-257 (Michael Kasprowicz, 46.1 ov), 10-263 (Brad Young, 48.1 ov)",ICC Champions Trophy (ICC KnockOut),"Australia , elected to field first",ODI no. 1360,1998/99
570,West Indies,Pakistan,289/9,259/9 (50 ov),West Indies won by 30 runs,"Fall of wickets: 1-34 (Stuart Williams, 5.2 ov), 2-143 (Philo Wallace, 19.5 ov), 3-166 (Brian Lara, 24.4 ov), 4-189 (Shivnarine Chanderpaul, 30.1 ov), 5-204 (Carl Hooper, 34.2 ov), 6-250 (Keith Arthurton, 43.5 ov), 7-250 (Ridley Jacobs, 43.6 ov), 8-268 (Phil Simmons, 47.3 ov), 9-277 (Nixon McLean, 48.2 ov)","Fall of wickets: 1-27 (Shahid Afridi, 5.2 ov), 2-70 (Azhar Mahmood, 12.1 ov), 3-90 (Aamer Sohail, 17.4 ov), 4-100 (Saleem Elahi, 21.5 ov), 5-143 (Akhtar Sarfraz, 30.5 ov), 6-177 (Ijaz Ahmed, 36.1 ov), 7-180 (Saleem Malik, 36.4 ov), 8-194 (Wasim Akram, 38.6 ov), 9-221 (Moin Khan, 43.2 ov)",ICC Champions Trophy (ICC KnockOut),"West Indies , elected to bat first",ODI no. 1361,1998/99
571,South Africa,Sri Lanka,240/7,"132 (23.4/34 ov, target 224)",South Africa won by 92 runs (D/L method),"Fall of wickets: 1-12 (Mike Rindel, 2.4 ov), 2-55 (Nicky Boje, 9.2 ov), 3-57 (Mark Boucher, 9.5 ov), 4-87 (Daryll Cullinan, 16.2 ov), 5-168 (Hansie Cronje, 29.5 ov), 6-181 (Jonty Rhodes, 30.6 ov), 7-196 (Pat Symcox, 33.1 ov)","Fall of wickets: 1-19 (Romesh Kaluwitharana, 3.2 ov), 2-40 (Sanath Jayasuriya, 5.2 ov), 3-48 (Aravinda de Silva, 7.3 ov), 4-74 (Chaminda Vaas, 9.3 ov), 5-80 (Arjuna Ranatunga, 11.3 ov), 6-96 (Roshan Mahanama, 14.5 ov), 7-113 (Marvan Atapattu, 18.2 ov), 8-125 (Upul Chandana, 20.5 ov), 9-132 (Kumar Dharmasena, 23.4 ov)",ICC Champions Trophy (ICC KnockOut),"Sri Lanka , elected to field first",ODI no. 1362,1998/99
572,India,West Indies,242/6,245/4 (47/50 ov),West Indies won by 6 wickets (with 18 balls remaining),"Fall of wickets: 1-14 (Sachin Tendulkar, 3.6 ov), 2-21 (Mohammad Azharuddin, 5.6 ov), 3-91 (Rahul Dravid, 25.6 ov), 4-125 (Ajay Jadeja, 31.1 ov), 5-153 (Sourav Ganguly, 39 ov), 6-236 (Nayan Mongia, 49.3 ov)","Fall of wickets: 1-27 (Stuart Williams, 2.1 ov), 2-108 (Philo Wallace, 16.2 ov), 3-143 (Shivnarine Chanderpaul, 24.2 ov), 4-156 (Carl Hooper, 25.5 ov)",ICC Champions Trophy (ICC KnockOut),"India , elected to bat first",ODI no. 1363,1998/99
