team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Player_Of_The_Match,Match_number,Season
Sri Lanka,Pakistan,309,224 (43.1/50 ov),Sri Lanka won by 85 runs,"Fall of wickets: 1-69 (Marvan Atapattu), 2-90 (Sanath Jayasuriya), 3-110 (Romesh Kaluwitharana), 4-177 (Aravinda de Silva), 5-250 (Hashan Tillakaratne), 6-254 (Chaminda Vaas), 7-276 (Arjuna Ranatunga), 8-304 (Roshan Mahanama), 9-308 (Kumar Dharmasena), 10-309 (Sajeewa de Silva)","Fall of wickets: 1-14 (Saeed Anwar), 2-34 (Shahid Afridi), 3-132 (Ijaz Ahmed), 4-135 (Saleem Malik), 5-193 (Ramiz Raja), 6-195 (Mohammad Wasim), 7-204 (Moin Khan), 8-207 (Saqlain Mushtaq), 9-207 (Arshad Khan), 10-224 (Aaqib Javed)",Pepsi Independence Cup,"Sri Lanka , elected to bat first",Aravinda de Silva,Sri Lanka won the best-of-3-finals 2-0,ODI no. 1214
West Indies,Sri Lanka,283/7,"248/8 (49 ov, target 284)",West Indies won by 35 runs,"Fall of wickets: 1-11 (Junior Murray), 2-46 (Franklyn Rose), 3-170 (Brian Lara), 4-184 (Stuart Williams), 5-211 (Floyd Reifer), 6-220 (Carl Hooper), 7-254 (Laurie Williams)","Fall of wickets: 1-6 (Marvan Atapattu), 1-8* (Sanath Jayasuriya, retired not out ), 2-19 (Aravinda de Silva), 3-39 (Hashan Tillakaratne), 4-89 (Sanath Jayasuriya), 5-118 (Roshan Mahanama), 6-138 (Arjuna Ranatunga), 7-150 (Romesh Kaluwitharana), 8-241 (Dulip Liyanage)",Sri Lanka tour of West Indies 1997,"Sri Lanka , elected to field first",Stuart Williams,ODI no. 1215,1997
Sri Lanka,Pakistan,239,224/9 (50 ov),Sri Lanka won by 15 runs,"Fall of wickets: 1-46 (Sanath Jayasuriya), 2-111 (Aravinda de Silva), 3-160 (Arjuna Ranatunga), 4-168 (Roshan Mahanama), 5-169 (Romesh Kaluwitharana), 6-199 (Ruwan Kalpage), 7-209 (Marvan Atapattu), 8-216 (Chaminda Vaas), 9-232 (Kumar Dharmasena), 10-239 (Sajeewa de Silva)","Fall of wickets: 1-32 (Saeed Anwar), 2-36 (Aamer Sohail), 3-51 (Shahid Afridi), 4-102 (Ramiz Raja), 5-165 (Inzamam-ul-Haq), 6-205 (Moin Khan), 7-214 (Saleem Malik), 8-216 (Saqlain Mushtaq), 9-216 (Aaqib Javed)",Asia Cup,"Pakistan , elected to field first",Marvan Atapattu,1997,14 July 1997 (50-over match)
Pakistan,Bangladesh,319/5,210 (49.3/50 ov),Pakistan won by 109 runs,"Fall of wickets: 1-13 (Aamer Sohail), 2-136 (Ramiz Raja), 3-166 (Saeed Anwar), 4-275 (Inzamam-ul-Haq), 5-315 (Saleem Malik)","Fall of wickets: 1-13 (Naimur Rahman), 2-13 (Habibul Bashar), 3-61 (Aminul Islam), 4-171 (Athar Ali Khan), 5-184 (Akram Khan), 6-188 (Khaled Mashud), 7-199 (Hasibul Hossain), 8-209 (Enamul Haque), 9-210 (Saiful Islam)",Asia Cup,"Pakistan , elected to bat first",Saeed Anwar,1997,16 July 1997 (50-over match)
India,Sri Lanka,227/6,231/4 (44.4/50 ov),Sri Lanka won by 6 wickets (with 32 balls remaining),"Fall of wickets: 1-32 (Sourav Ganguly), 2-35 (Sachin Tendulkar), 3-51 (Saba Karim), 4-168 (Rahul Dravid), 5-189 (Robin Singh), 6-201 (Ajay Jadeja)","Fall of wickets: 1-0 (Sanath Jayasuriya), 2-9 (Aravinda de Silva), 3-117 (Marvan Atapattu), 4-125 (Roshan Mahanama)",Asia Cup,"Sri Lanka , elected to field first",Arjuna Ranatunga,1997,18 July 1997 (50-over match)
Sri Lanka,Bangladesh,296/4,"193/8 (46 ov, target 297)",Sri Lanka won by 103 runs,"Fall of wickets: 1-171 (Sanath Jayasuriya), 2-177 (Marvan Atapattu), 3-213 (Aravinda de Silva), 4-284 (Arjuna Ranatunga)","Fall of wickets: 1-76 (Athar Ali Khan), 2-95 (Habibul Bashar), 3-117 (Naimur Rahman), 4-167 (Aminul Islam), 5-177 (Minhajul Abedin), 6-178 (Akram Khan), 7-190 (Mafizur Rahman), 8-193 (Hasibul Hossain)",Asia Cup,"Bangladesh , elected to field first",Sanath Jayasuriya,1997,22 July 1997 (50-over match)
Bangladesh,India,130/8,"132/1 (15/43 ov, target 131)",India won by 9 wickets (with 168 balls remaining),"Fall of wickets: 1-2 (Naimur Rahman), 2-12 (Minhajul Abedin), 3-57 (Athar Ali Khan), 4-79 (Aminul Islam), 5-92 (Akram Khan), 6-100 (Khaled Mashud), 7-104 (Enamul Haque), 8-104 (Hasibul Hossain)",Fall of wickets: 1-54 (Sachin Tendulkar),Asia Cup,"India , elected to field first",Sourav Ganguly,1997,24 July 1997 (50-over match)
India,Sri Lanka,239/7,240/2 (36.5/50 ov),Sri Lanka won by 8 wickets (with 79 balls remaining),"Fall of wickets: 1-32 (Navjot Sidhu), 2-51 (Rahul Dravid), 3-59 (Sourav Ganguly), 4-168 (Sachin Tendulkar), 5-215 (Mohammad Azharuddin), 6-225 (Robin Singh), 7-234 (Ajay Jadeja)","Fall of wickets: 1-137 (Sanath Jayasuriya), 2-144 (Aravinda de Silva)",Asia Cup,"India , elected to bat first",Marvan Atapattu,Sri Lanka won the 1997 Pepsi Asia Cup,ODI no. 1222
Sri Lanka,India,302/4,300/7 (50 ov),Sri Lanka won by 2 runs,"Fall of wickets: 1-91 (Sanath Jayasuriya), 2-199 (Roshan Mahanama), 3-279 (Aravinda de Silva), 4-300 (Marvan Atapattu)","Fall of wickets: 1-58 (Sourav Ganguly), 2-59 (Robin Singh), 3-61 (Rahul Dravid), 4-64 (Sachin Tendulkar), 5-287 (Ajay Jadeja), 6-294 (Nayan Mongia), 7-296 (Rajesh Chauhan)",India tour of Sri Lanka 1997,"India , elected to field first",Ajay Jadeja,ODI no. 1223,1997
India,Sri Lanka,238,241/3 (41.5/50 ov),Sri Lanka won by 7 wickets (with 49 balls remaining),"Fall of wickets: 1-6 (Sachin Tendulkar), 2-105 (Robin Singh), 3-106 (Mohammad Azharuddin), 4-159 (Rahul Dravid), 5-212 (Ajay Jadeja), 6-218 (Sourav Ganguly), 7-229 (Anil Kumble), 8-235 (Nayan Mongia), 9-237 (Rajesh Chauhan), 10-238 (Venkatesh Prasad)","Fall of wickets: 1-79 (Marvan Atapattu), 2-130 (Sanath Jayasuriya), 3-219 (Roshan Mahanama)",India tour of Sri Lanka 1997,"Sri Lanka , elected to field first",Sanath Jayasuriya,ODI no. 1224,1997
Sri Lanka,India,264,255/8 (50 ov),Sri Lanka won by 9 runs,"Fall of wickets: 1-3 (Sanath Jayasuriya), 2-22 (Marvan Atapattu), 3-105 (Roshan Mahanama), 4-113 (Arjuna Ranatunga), 5-195 (Lanka de Silva), 6-226 (Upul Chandana), 7-254 (Aravinda de Silva), 8-256 (Dulip Liyanage), 9-264 (Muttiah Muralitharan), 10-264 (Kumar Dharmasena)","Fall of wickets: 1-50 (Sachin Tendulkar), 2-78 (Sourav Ganguly), 3-107 (Robin Singh), 4-165 (Rahul Dravid), 5-221 (Ajay Jadeja), 6-227 (Mohammad Azharuddin), 7-235 (Rajesh Chauhan), 8-245 (Abey Kuruvilla)",India tour of Sri Lanka 1997,"India , elected to field first",Aravinda de Silva,Sri Lanka won the 3-match series 3-0,ODI no. 1226
India,Pakistan,208,188 (44.2/49 ov),India won by 20 runs,"Fall of wickets: 1-52 (Sourav Ganguly), 2-52 (Sachin Tendulkar), 3-85 (Rahul Dravid), 4-176 (Ajay Jadeja), 5-199 (Robin Singh), 6-202 (Saba Karim), 7-203 (Rajesh Chauhan), 8-207 (Mohammad Azharuddin), 9-208 (Abey Kuruvilla), 10-208 (Harvinder Singh)","Fall of wickets: 1-4 (Saeed Anwar), 2-6 (Ramiz Raja), 3-32 (Inzamam-ul-Haq), 4-57 (Shahid Afridi), 5-82 (Ijaz Ahmed), 6-84 (Moin Khan), 7-107 (Azhar Mahmood), 8-171 (Saqlain Mushtaq), 9-188 (Saleem Malik), 10-188 (Aaqib Javed)",India tour of Canada 1997,"Pakistan , elected to field first",Ajay Jadeja,ODI no. 1227,1997
Pakistan,India,116,117/3 (34.4/50 ov),India won by 7 wickets (with 92 balls remaining),"Fall of wickets: 1-7 (Shahid Afridi), 2-17 (Saeed Anwar), 3-26 (Ijaz Ahmed), 4-41 (Ramiz Raja), 5-50 (Inzamam-ul-Haq), 6-66 (Moin Khan), 7-91 (Saleem Malik), 8-115 (Azhar Mahmood), 9-115 (Saqlain Mushtaq), 10-116 (Aaqib Javed)","Fall of wickets: 1-34 (Saba Karim), 2-63 (Rahul Dravid), 3-69 (Sourav Ganguly)",India tour of Canada 1997,"Pakistan , elected to bat first",Sourav Ganguly,ODI no. 1228,1997
India,Pakistan,182/6,148 (36.5/50 ov),India won by 34 runs,"Fall of wickets: 1-12 (Sourav Ganguly), 2-12 (Saba Karim), 3-23 (Sachin Tendulkar), 4-89 (Rahul Dravid), 5-133 (Ajay Jadeja), 6-164 (Mohammad Azharuddin)","Fall of wickets: 1-52 (Saeed Anwar), 2-79 (Shahid Afridi), 3-87 (Ramiz Raja), 4-103 (Saleem Malik), 5-103 (Hasan Raza), 6-116 (Ijaz Ahmed), 7-118 (Moin Khan), 8-126 (Azhar Mahmood), 9-141 (Aaqib Javed), 10-148 (Saqlain Mushtaq)",India tour of Canada 1997,"Pakistan , elected to field first",Sourav Ganguly,ODI no. 1230,1997
Pakistan,India,159/6,"162/3 (25.3/26 ov, target 160)",India won by 7 wickets (with 3 balls remaining),"Fall of wickets: 1-31 (Shahid Afridi), 2-46 (Saeed Anwar), 3-72 (Ijaz Ahmed), 4-95 (Ramiz Raja), 5-107 (Saleem Malik), 6-155 (Moin Khan)","Fall of wickets: 1-8 (Sachin Tendulkar), 2-41 (Robin Singh), 3-54 (Mohammad Azharuddin)",India tour of Canada 1997,"India , elected to field first",Sourav Ganguly,ODI no. 1231,1997
India,Pakistan,250/5,251/5 (41.5/48 ov),Pakistan won by 5 wickets (with 37 balls remaining),"Fall of wickets: 1-98 (Sachin Tendulkar), 2-102 (Vinod Kambli), 3-206 (Mohammad Azharuddin), 4-214 (Sourav Ganguly), 5-237 (Robin Singh)","Fall of wickets: 1-109 (Shahid Afridi), 2-109 (Ijaz Ahmed), 3-111 (Ramiz Raja), 4-127 (Saleem Malik), 5-240 (Hasan Raza)",India tour of Canada 1997,"Pakistan , elected to field first",Sourav Ganguly,India won the 5-match series 4-1,ODI no. 1232
India,Pakistan,170,171/5 (44.3/50 ov),Pakistan won by 5 wickets (with 33 balls remaining),"Fall of wickets: 1-2 (Sourav Ganguly), 2-3 (Sachin Tendulkar), 3-61 (Robin Singh), 4-77 (Mohammad Azharuddin), 5-166 (Ajay Jadeja), 6-167 (Saba Karim), 7-167 (Rajesh Chauhan), 8-169 (Rahul Dravid), 9-169 (Nilesh Kulkarni), 10-170 (Abey Kuruvilla)","Fall of wickets: 1-70 (Saeed Anwar), 2-87 (Shahid Afridi), 3-106 (Saleem Elahi), 4-113 (Ijaz Ahmed), 5-138 (Hasan Raza)",India tour of Pakistan 1997/98,"India , elected to bat first",Aaqib Javed,ODI no. 1233,1997/98
Pakistan,India,265/4,"266/6 (46.3/47 ov, target 266)",India won by 4 wickets (with 3 balls remaining),"Fall of wickets: 1-55 (Saeed Anwar), 2-126 (Shahid Afridi), 3-148 (Ijaz Ahmed), 4-197 (Saleem Elahi)","Fall of wickets: 1-71 (Sachin Tendulkar), 2-169 (Sourav Ganguly), 3-179 (Vinod Kambli), 4-185 (Mohammad Azharuddin), 5-195 (Ajay Jadeja), 6-257 (Saba Karim)",India tour of Pakistan 1997/98,"Pakistan , elected to bat first",Sourav Ganguly,ODI no. 1234,1997/98
Zimbabwe,New Zealand,233/8,233/9 (50 ov),Match tied,"Fall of wickets: 1-14 (Gavin Rennie), 2-22 (Alistair Campbell), 3-101 (Andy Flower), 4-136 (Guy Whittall), 5-139 (Grant Flower), 6-175 (Craig Evans), 7-204 (Dave Houghton), 8-206 (Eddo Brandes)","Fall of wickets: 1-7 (Craig Spearman), 2-14 (Nathan Astle), 3-49 (Stephen Fleming), 4-85 (Chris Cairns), 5-90 (Craig McMillan), 6-100 (Adam Parore), 7-137 (Matt Horne), 8-178 (Daniel Vettori), 9-233 (Gavin Larsen)",New Zealand tour of Zimbabwe 1997/98,"Zimbabwe , elected to bat first",Chris Harris,ODI no. 1235,1997/98
India,Pakistan,216,219/1 (26.2/49 ov),Pakistan won by 9 wickets (with 136 balls remaining),"Fall of wickets: 1-12 (Sachin Tendulkar), 2-53 (Sourav Ganguly), 3-56 (Robin Singh), 4-66 (Vinod Kambli), 5-77 (Mohammad Azharuddin), 6-130 (Saba Karim), 7-206 (Ajay Jadeja), 8-206 (Rajesh Chauhan), 9-215 (Nilesh Kulkarni), 10-216 (Abey Kuruvilla)",Fall of wickets: 1-80 (Shahid Afridi),India tour of Pakistan 1997/98,"Pakistan , elected to field first",Ijaz Ahmed,ODI no. 1236,1997/98
New Zealand,Zimbabwe,185/7,188/7 (48.2/50 ov),Zimbabwe won by 3 wickets (with 10 balls remaining),"Fall of wickets: 1-6 (Craig Spearman), 2-61 (Matt Horne), 3-74 (Nathan Astle), 4-74 (Stephen Fleming), 5-116 (Chris Cairns), 6-143 (Craig McMillan), 7-160 (Adam Parore)","Fall of wickets: 1-12 (Grant Flower), 2-28 (Andy Flower), 3-42 (Guy Whittall), 4-165 (Gavin Rennie), 5-170 (Dave Houghton), 6-174 (Craig Evans), 7-180 (Paul Strang)",New Zealand tour of Zimbabwe 1997/98,"New Zealand , elected to bat first",Paul Strang,ODI no. 1237,1997/98
New Zealand,Zimbabwe,294/7,211 (44.1/50 ov),New Zealand won by 83 runs,"Fall of wickets: 1-58 (Nathan Astle), 2-147 (Chris Cairns), 3-164 (Matt Horne), 4-214 (Stephen Fleming), 5-263 (Craig McMillan), 6-264 (Craig Spearman), 7-287 (Adam Parore)","Fall of wickets: 1-63 (Grant Flower), 2-92 (Andy Flower), 3-116 (Alistair Campbell), 4-125 (Guy Whittall), 5-126 (Dave Houghton), 6-140 (Craig Evans), 7-166 (Gavin Rennie), 8-176 (John Rennie), 9-188 (Paul Strang), 10-211 (Bryan Strang)",New Zealand tour of Zimbabwe 1997/98,"New Zealand , elected to bat first",Chris Cairns,3-match series drawn 1-1,ODI no. 1238
Kenya,Bangladesh,347/3,197 (43.4/50 ov),Kenya won by 150 runs,"Fall of wickets: 1-225 (Dipak Chudasama), 2-309 (Steve Tikolo), 3-316 (Kennedy Otieno)","Fall of wickets: 1-55 (Shahriar Hossain), 2-90 (Jahangir Alam), 3-100 (Athar Ali Khan), 4-123 (Akram Khan), 5-124 (Minhajul Abedin), 6-163 (Mohammad Rafique), 7-166 (Khaled Mashud), 8-176 (Aminul Islam), 9-197 (Sheikh Salahuddin)",President's Cup,"Bangladesh , elected to field first",Kennedy Otieno,1997/98,10 October 1997 (50-over match)
Zimbabwe,Bangladesh,305/4,257 (47.1/50 ov),Zimbabwe won by 48 runs,"Fall of wickets: 1-161 (Grant Flower), 2-161 (Craig Evans), 3-188 (Andy Flower), 4-265 (Alistair Campbell)","Fall of wickets: 1-35 (Shahriar Hossain), 2-72 (Athar Ali Khan), 3-96 (Aminul Islam), 4-183 (Habibul Bashar), 5-221 (Akram Khan), 6-224 (Mohammad Rafique), 7-231 (Minhajul Abedin), 8-242 (Khaled Mashud), 9-257 (Mafizur Rahman), 10-257 (Hasibul Hossain)",President's Cup,"Zimbabwe , elected to bat first",Grant Flower,1997/98,11 October 1997 (50-over match)
Kenya,Zimbabwe,249/8,"244/4 (46.3/47 ov, target 244)",Zimbabwe won by 6 wickets (with 3 balls remaining) (revised target),"Fall of wickets: 1-51 (Dipak Chudasama), 2-95 (Steve Tikolo), 3-149 (Maurice Odumbe), 4-197 (Kennedy Otieno), 5-216 (Thomas Odoyo), 6-216 (Hitesh Modi), 7-224 (Mohammad Sheikh), 8-242 (Aasif Karim)","Fall of wickets: 1-12 (Grant Flower), 2-30 (Gavin Rennie), 3-162 (Andy Flower), 4-180 (Guy Whittall)",President's Cup,"Kenya , elected to bat first",Guy Whittall,1997/98,12 October 1997 (50-over match)
Zimbabwe,Bangladesh,284,92 (32.3/50 ov),Zimbabwe won by 192 runs,"Fall of wickets: 1-37 (Grant Flower), 2-55 (Craig Evans), 3-150 (Guy Whittall), 4-160 (Andy Flower), 5-186 (Gavin Rennie), 6-237 (Alistair Campbell), 7-257 (Craig Wishart), 8-275 (Paul Strang), 9-284 (Adam Huckle), 10-284 (Bryan Strang)","Fall of wickets: 1-3 (Shahriar Hossain), 2-14 (Habibul Bashar), 3-20 (Athar Ali Khan), 4-22 (Jahangir Alam), 5-33 (Akram Khan), 6-38 (Khaled Mashud), 7-53 (Mohammad Rafique), 8-57 (Minhajul Abedin), 9-77 (Hasibul Hossain), 10-92 (Shafiuddin Ahmed)",President's Cup,"Zimbabwe , elected to bat first",Bryan Strang,1997/98,14 October 1997 (50-over match)
Bangladesh,Kenya,100,"102/2 (17/46 ov, target 101)",Kenya won by 8 wickets (with 174 balls remaining),"Fall of wickets: 1-1 (Athar Ali Khan), 2-9 (Mohammad Rafique), 3-10 (Habibul Bashar), 4-28 (Akram Khan), 5-40 (Minhajul Abedin), 6-51 (Shahriar Hossain), 7-63 (Khaled Mashud), 8-88 (Mafizur Rahman), 9-100 (Sheikh Salahuddin), 10-100 (Hasibul Hossain)","Fall of wickets: 1-11 (Dipak Chudasama), 2-11 (Steve Tikolo)",President's Cup,"Bangladesh , elected to bat first",Martin Suji,1997/98,15 October 1997 (50-over match)
Kenya,Zimbabwe,207/9,210/3 (41.2/50 ov),Zimbabwe won by 7 wickets (with 52 balls remaining),"Fall of wickets: 1-22 (Dipak Chudasama), 2-35 (Steve Tikolo), 3-64 (Alpesh Vadher), 4-64 (Kennedy Otieno), 5-68 (Hitesh Modi), 6-68 (Maurice Odumbe), 7-187 (Tony Suji), 8-188 (Thomas Odoyo), 9-200 (Aasif Karim)","Fall of wickets: 1-124 (Andy Flower), 2-170 (Grant Flower), 3-200 (Gavin Rennie)",President's Cup,"Zimbabwe , elected to field first",Andy Flower,1997/98,16 October 1997 (50-over match)
Zimbabwe,Kenya,281/8,"172/7 (40 ov, target 255)",Zimbabwe won by 83 runs (revised target),"Fall of wickets: 1-154 (Grant Flower), 2-154 (Andy Flower), 3-179 (Guy Whittall), 4-193 (Gavin Rennie), 5-246 (Craig Wishart), 6-262 (Craig Evans), 7-268 (Alistair Campbell), 8-279 (Bryan Strang)","Fall of wickets: 1-3 (Dipak Chudasama), 2-57 (Steve Tikolo), 3-83 (Kennedy Otieno), 4-104 (Alpesh Vadher), 5-127 (Hitesh Modi), 6-168 (Thomas Odoyo), 7-172 (Maurice Odumbe)",President's Cup,"Zimbabwe , elected to bat first",Andy Flower,ODI no. 1245,1997/98
Zimbabwe,Kenya,272/6,"190 (46.1/49 ov, target 273)",Zimbabwe won by 82 runs,"Fall of wickets: 1-18 (Andy Flower), 2-168 (Grant Flower), 3-175 (Guy Whittall), 4-178 (Gavin Rennie), 5-193 (Craig Wishart), 6-241 (Alistair Campbell)","Fall of wickets: 1-21 (Dipak Chudasama), 2-29 (Kennedy Otieno), 3-62 (Steve Tikolo), 4-62 (Maurice Odumbe), 5-62 (Alpesh Vadher), 6-66 (Thomas Odoyo), 7-71 (Tony Suji), 8-171 (Aasif Karim), 9-175 (Mohammad Sheikh), 10-190 (Hitesh Modi)",President's Cup,"Zimbabwe , elected to bat first",Andy Whittall,Zimbabwe won the best-of-3-finals 2-0,ODI no. 1246
West Indies,Sri Lanka,237/8,240/3 (39.4/50 ov),Sri Lanka won by 7 wickets (with 62 balls remaining),"Fall of wickets: 1-16 (Stuart Williams), 2-98 (Shivnarine Chanderpaul), 3-172 (Brian Lara), 4-221 (Phil Simmons), 5-228 (Carl Hooper), 6-229 (Franklyn Rose), 7-232 (Roland Holder), 8-237 (David Williams)","Fall of wickets: 1-17 (Marvan Atapattu), 2-56 (Sanath Jayasuriya), 3-69 (Aravinda de Silva)",Wills Quadrangular Tournament,"Sri Lanka , elected to field first",Arjuna Ranatunga,1997/98,1 November 1997 - day/night match (50-over match)
South Africa,Pakistan,271,262/9 (50 ov),South Africa won by 9 runs,"Fall of wickets: 1-4 (Andrew Hudson), 2-94 (Lance Klusener), 3-192 (Daryll Cullinan), 4-221 (Gary Kirsten), 5-241 (Jonty Rhodes), 6-254 (Hansie Cronje), 7-264 (Shaun Pollock), 8-269 (Pat Symcox), 9-271 (Fanie de Villiers), 10-271 (Allan Donald)","Fall of wickets: 1-0 (Saeed Anwar), 2-0 (Aamer Sohail), 3-0 (Ijaz Ahmed), 4-9 (Shahid Afridi), 5-142 (Moin Khan), 6-152 (Wasim Akram), 7-180 (Inzamam-ul-Haq), 8-206 (Rashid Latif), 9-247 (Saqlain Mushtaq)",Wills Quadrangular Tournament,"Pakistan , elected to field first",Shaun Pollock,1997/98,2 November 1997 - day/night match (50-over match)
West Indies,South Africa,293/8,297/5 (48.1/50 ov),South Africa won by 5 wickets (with 11 balls remaining),"Fall of wickets: 1-1 (Sherwin Campbell), 2-87 (Stuart Williams), 3-131 (Brian Lara), 4-214 (Shivnarine Chanderpaul), 5-270 (Carl Hooper), 6-283 (Rawl Lewis), 7-293 (Sir Curtly Ambrose), 8-293 (David Williams)","Fall of wickets: 1-10 (Andrew Hudson), 2-47 (Lance Klusener), 3-81 (Daryll Cullinan), 4-193 (Gary Kirsten), 5-259 (Hansie Cronje)",Wills Quadrangular Tournament,"South Africa , elected to field first",Hansie Cronje,1997/98,3 November 1997 - day/night match (50-over match)
West Indies,Pakistan,215/7,219/2 (40.4/50 ov),Pakistan won by 8 wickets (with 56 balls remaining),"Fall of wickets: 1-24 (Sherwin Campbell), 2-51 (Brian Lara), 3-54 (Carl Hooper), 4-56 (Shivnarine Chanderpaul), 5-130 (Stuart Williams), 6-166 (David Williams), 7-204 (Phil Simmons)","Fall of wickets: 1-34 (Shahid Afridi), 2-55 (Ijaz Ahmed)",Wills Quadrangular Tournament,"Pakistan , elected to field first",Saeed Anwar,1997/98,4 November 1997 - day/night match (50-over match)
Pakistan,Sri Lanka,280,281/2 (40/50 ov),Sri Lanka won by 8 wickets (with 60 balls remaining),"Fall of wickets: 1-66 (Saeed Anwar), 2-73 (Shahid Afridi), 3-195 (Aamer Sohail), 4-205 (Inzamam-ul-Haq), 5-214 (Wasim Akram), 6-234 (Moin Khan), 7-269 (Azhar Mahmood), 8-278 (Rashid Latif), 9-278 (Ijaz Ahmed), 10-280 (Waqar Younis)","Fall of wickets: 1-65 (Marvan Atapattu), 2-68 (Roshan Mahanama)",Wills Quadrangular Tournament,"Sri Lanka , elected to field first",Sanath Jayasuriya,1997/98,5 November 1997 - day/night match (50-over match)
South Africa,Sri Lanka,311/9,245/9 (50 ov),South Africa won by 66 runs,"Fall of wickets: 1-12 (Andrew Hudson), 2-90 (Lance Klusener), 3-154 (Daryll Cullinan), 4-165 (Gary Kirsten), 5-200 (Jonty Rhodes), 6-272 (Shaun Pollock), 7-274 (Hansie Cronje), 8-299 (David Richardson), 9-308 (Fanie de Villiers)","Fall of wickets: 1-35 (Russel Arnold), 2-46 (Marvan Atapattu), 3-55 (Roshan Mahanama), 4-61 (Aravinda de Silva), 5-62 (Arjuna Ranatunga), 6-72 (Hashan Tillakaratne), 7-165 (Lanka de Silva), 8-172 (Upul Chandana), 9-227 (Dulip Liyanage)",Wills Quadrangular Tournament,"Sri Lanka , elected to field first",Lance Klusener,1997/98,6 November 1997 - day/night match (50-over match)
Sri Lanka,South Africa,209/7,210/6 (40.4/50 ov),South Africa won by 4 wickets (with 56 balls remaining),"Fall of wickets: 1-29 (Sanath Jayasuriya), 2-66 (Roshan Mahanama), 3-95 (Marvan Atapattu), 4-101 (Aravinda de Silva), 5-155 (Hashan Tillakaratne), 6-157 (Lanka de Silva), 7-173 (Arjuna Ranatunga)","Fall of wickets: 1-18 (Andrew Hudson), 2-40 (Gary Kirsten), 3-71 (Pat Symcox), 4-109 (Daryll Cullinan), 5-188 (Hansie Cronje), 6-197 (Lance Klusener)",Wills Quadrangular Tournament,"South Africa , elected to field first",Lance Klusener,South Africa won the 1997/98 Wills Quadrangular Tournament,ODI no. 1253
South Africa,Australia,200,133 (38/50 ov),South Africa won by 67 runs,"Fall of wickets: 1-28 (Jacques Kallis), 2-37 (Lance Klusener), 3-96 (Gary Kirsten), 4-98 (Daryll Cullinan), 5-113 (Jonty Rhodes), 6-124 (Shaun Pollock), 7-153 (Hansie Cronje), 8-153 (David Richardson), 9-160 (Brian McMillan), 10-200 (Allan Donald)","Fall of wickets: 1-6 (Michael Di Venuto), 2-61 (Greg Blewett), 3-64 (Steve Waugh), 4-71 (Mark Waugh), 5-78 (Adam Gilchrist), 6-89 (Ian Harvey), 7-92 (Michael Bevan), 8-122 (Shane Warne), 9-133 (Andy Bichel), 10-133 (Paul Reiffel)",Australian Tri Series (CB Series),"South Africa , elected to bat first",Pat Symcox,1997/98,4 December 1997 - day/night match (50-over match)
New Zealand,South Africa,224/6,177 (47.5/50 ov),New Zealand won by 47 runs,"Fall of wickets: 1-6 (Matt Horne), 2-6 (Nathan Astle), 3-58 (Stephen Fleming), 4-89 (Chris Cairns), 5-93 (Roger Twose), 6-217 (Craig McMillan)","Fall of wickets: 1-23 (Jacques Kallis), 2-52 (Lance Klusener), 3-85 (Daryll Cullinan), 4-91 (Gary Kirsten), 5-94 (Jonty Rhodes), 6-113 (Hansie Cronje), 7-126 (Brian McMillan), 8-141 (Pat Symcox), 9-161 (Shaun Pollock), 10-177 (Allan Donald)",Australian Tri Series (CB Series),"South Africa , elected to field first",Craig McMillan,1997/98,6 December 1997 - day/night match (50-over match)
New Zealand,Australia,260/7,263/7 (49.4/50 ov),Australia won by 3 wickets (with 2 balls remaining),"Fall of wickets: 1-77 (Matt Horne), 2-146 (Nathan Astle), 3-186 (Stephen Fleming), 4-190 (Chris Cairns), 5-220 (Craig McMillan), 6-227 (Adam Parore), 7-259 (Roger Twose)","Fall of wickets: 1-156 (Michael Di Venuto), 2-202 (Mark Waugh), 3-209 (Greg Blewett), 4-221 (Adam Gilchrist), 5-221 (Ian Harvey), 6-249 (Steve Waugh), 7-259 (Shane Warne)",Australian Tri Series (CB Series),"New Zealand , elected to bat first",Mark Waugh,1997/98,7 December 1997 - day/night match (50-over match)
South Africa,Australia,170/8,125 (39.1/50 ov),South Africa won by 45 runs,"Fall of wickets: 1-1 (Gary Kirsten), 2-36 (Lance Klusener), 3-40 (Herschelle Gibbs), 4-44 (Hansie Cronje), 5-105 (Jacques Kallis), 6-125 (Jonty Rhodes), 7-140 (Shaun Pollock), 8-161 (Brian McMillan)","Fall of wickets: 1-11 (Michael Di Venuto), 2-12 (Steve Waugh), 3-38 (Ricky Ponting), 4-79 (Michael Bevan), 5-97 (Mark Waugh), 6-97 (Tom Moody), 7-100 (Ian Harvey), 8-104 (Paul Reiffel), 9-123 (Shane Warne), 10-125 (Andy Bichel)",Australian Tri Series (CB Series),"South Africa , elected to bat first",Lance Klusener,1997/98,9 December 1997 - day/night match (50-over match)
