player_name,class_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,boundary_fours,boundary_sixes,catches_taken,stumpings_made
270135,Tests,2,4,1,88,41*,29.33,159,55.34,0,0,8,2,2,0
270135,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0
270135,T20Is,9,8,4,59,18*,14.75,61,96.72,0,0,4,0,5,0
270135,First-class,79,120,14,3595,231,33.91,5552,64.75,8,17,341,87,64,0
270135,List A,99,88,14,2026,109,27.37,2435,83.2,2,8,121,66,50,0
270135,T20s,67,56,16,860,59*,21.5,730,117.8,0,1,52,23,34,0
932355,Tests,2,4,2,0,0*,0,7,0,0,0,0,0,0,0
932355,First-class,21,28,9,58,12*,3.05,166,34.93,0,0,7,1,5,0
932355,List A,8,4,1,7,6,2.33,13,53.84,0,0,1,0,0,0
932355,T20s,5,-,-,-,-,-,-,-,-,-,-,-,1,0
55893,ODIs,2,2,0,0,0,0,9,0,0,0,0,0,1,0
55893,First-class,75,128,3,4127,195,33.01,7799,52.91,7,20,,,38,0
55893,List A,95,89,8,2803,149*,34.6,3782,74.11,7,14,231,59,27,0
55893,T20s,12,11,1,198,50,19.8,194,102.06,0,1,19,5,3,0
280734,Tests,37,72,2,1776,150,25.37,3681,48.24,3,4,238,11,35,0
280734,ODIs,78,78,2,2434,144,32.02,3423,71.1,4,16,238,37,21,0
280734,T20Is,14,13,0,119,36,9.15,134,88.8,0,0,14,3,4,0
280734,First-class,105,191,7,6335,204,34.42,,,17,21,,,99,0
280734,List A,171,171,7,5592,144,34.09,7510,74.46,10,35,548,111,59,2
280734,T20s,106,104,7,2132,82*,21.97,1849,115.3,0,8,197,79,35,0
375724,Tests,7,14,5,51,25*,5.66,281,18.14,0,0,5,2,0,0
375724,First-class,73,105,27,867,63,11.11,,,0,3,,,23,0
375724,List A,77,42,22,226,26*,11.3,337,67.06,0,0,12,11,17,0
375724,T20s,30,10,3,38,13,5.42,41,92.68,0,0,1,1,2,0
536936,Tests,15,26,0,622,94,23.92,1094,56.85,0,4,85,2,26,2
536936,ODIs,32,32,2,736,121,24.53,831,88.56,1,3,79,12,21,3
536936,T20Is,18,18,0,391,61,21.72,279,140.14,0,2,32,19,10,0
536936,First-class,60,103,6,4684,274,48.28,6953,67.36,13,22,605,51,88,10
536936,List A,108,106,5,3847,143*,38.08,4175,92.14,8,19,428,74,73,30
536936,T20s,72,68,2,1205,70,18.25,934,129.01,0,5,122,43,35,16
56025,Tests,45,85,5,2655,146,33.18,4968,53.44,4,16,305,23,36,1
56025,ODIs,181,156,42,3947,128*,34.62,5141,76.77,3,21,308,56,60,0
56025,T20Is,76,69,15,1251,64*,23.16,1024,122.16,0,3,100,42,28,0
